wbcode,wbname,aosnew1,aosnew2,aosnew3,aosnew4,aosnew5,aosnew6,aosnew7,aosnew8,aosnew9,aosnew10,aosnew11,aosnew12,aosnew13,aosnew14,aosnew15,aosnew16,aosnew17,aosnew18,aosnew19,aosnew20,aosnew21,aosnew22,aosnew23,aosnew24,aosnew25,aosnew26,aosnew27,aosnew28,aosnew29,aosnew30,aosnew31,aosnew32,aosnew33,aosnew34,aosnew35,aosnew36,aosnew37,aosnew38,aosnew39,statehist00v3,statehist001v3,statehist01v3,statehist05v3,statehist10v3,statehist50v3,statehistn00v3,statehistn001v3,statehistn01v3,statehistn05v3,statehistn10v3,statehistn50v3
TTO,Trinidad and Tobago,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,174.4764,169.8869,151.8923,133.8815,70.61043,0.0897436,0.0911847,0.1045952,0.170017,0.2494845,0.4707362
TUN,Tunisia,25,32.75,37.5,37.5,37.5,37.5,37.5,31,37.5,50,50,50,50,50,37.5,37.5,37.5,37.5,41.25,50,50,37.5,37.5,25,25,28.125,28.125,28.125,28.125,28.125,25,25,25,25,25,25,25,25,25,1345.625,1322.608,1138.803,654.1322,398.1913,97.30882,0.6900641,0.6912206,0.7011325,0.7321873,0.7420184,0.6487255
TUR,Turkey,50,50,50,50,50,50,50,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,42.75,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,1617.75,1590.069,1369.312,792.379,495.0123,149.0548,0.8296154,0.8310009,0.8430514,0.8869306,0.9224417,0.993699
TKM,Turkmenistan,25,9.5,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,684.5,668.1509,540.1456,234.1636,106.6104,31.71869,0.3510256,0.3491885,0.3325542,0.2621055,0.1986655,0.211458
UGA,Uganda,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.5,286.4532,277.3073,241.989,207.5657,95.61043,0.1474359,0.1497059,0.1707312,0.2708646,0.386793,0.6374029
UKR,Ukraine,25,25,25,22,28.125,27.063,25,22.625,18.75,18.75,18.75,18.75,26.25,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.188,548.2074,498.3824,342.751,237.1262,74.32051,0.284199,0.2865037,0.3068416,0.3836502,0.4418781,0.4954701
GBR,United Kingdom,50,50,50,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,25,25,25,25,25,25,25,0,1400,1376.775,1191.359,704.2622,450.1077,145.0616,0.7179487,0.7195293,0.7334899,0.7882991,0.8387632,0.9670773
USA,United States,50,50,28.125,23.25,18.75,18.75,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.625,207.1689,203.1637,187.3218,171.1991,110.5412,0.1064744,0.1082704,0.1250829,0.2096742,0.3190248,0.7369411
URY,Uruguay,50,50,36,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,185.7036,183.0849,172.4356,161.0648,111.679,0.0953846,0.0970522,0.1127208,0.1930117,0.3001398,0.7445269
UZB,Uzbekistan,25,30.75,37.5,46.25,50,50,50,50,50,27.5,25,25,25,25,25,50,50,50,50,50,50,50,50,50,50,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,1435.75,1410.426,1208.738,684.07,414.8903,103.7828,0.7362821,0.7371155,0.7441897,0.7656974,0.7731366,0.6918852
VEN,Venezuela,50,50,40.5,25,25,25,25,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,277.1466,269.6955,240.9883,213.079,121.1169,0.1425641,0.1448421,0.1660448,0.2697445,0.3970668,0.8074461
VNM,Vietnam,25.25,34.5,49.5,37.5,37.5,37.5,42.5,50,50,44.75,33.375,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,22.875,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,24,25,25,25,1164.25,1145.798,998.2379,604.9581,389.6751,105.343,0.5970513,0.5988159,0.6145903,0.6771455,0.7261488,0.7022868
YEM,Yemen,24.75,18.75,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,25,25,25,25,25,25,25,37.5,50,50,50,50,50,50,50,50,50,50,1290.375,1262.876,1047.643,528.8959,297.6674,74.74883,0.6617308,0.6600034,0.6450076,0.592007,0.5546949,0.4983256
ZMB,Zambia,25,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,99.88765,98.88982,94.72789,90.08264,66.66666,0.0512821,0.0522032,0.060884,0.1060314,0.1678665,0.4444445
